"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount","adj_factor","adjust"
"601988.SH","20251024","5.365426","5.463515","5.336000","5.424279","5.385044","0.039235","0.728597","4317256.220000","2382064.082000","2.534600","qfq"
"601988.SH","20251027","5.404662","5.532176","5.355618","5.483132","5.424279","0.058853","1.084991","4410595.350000","2454817.704000","2.534600","qfq"
"601988.SH","20251028","5.483132","5.522368","5.434088","5.492941","5.483132","0.009809","0.178891","2996081.980000","1675010.077000","2.534600","qfq"
"601988.SH","20251029","5.492941","5.561603","5.453706","5.492941","5.492941","0.000000","0.000000","3950881.980000","2220593.984000","2.534600","qfq"
"601988.SH","20251030","5.492941","5.610647","5.483132","5.541985","5.492941","0.049044","0.892857","4625521.720000","2618922.183000","2.534600","qfq"
"601988.SH","20251031","5.551794","5.561603","5.385044","5.502750","5.541985","-0.039235","-0.707965","4884455.930000","2717254.586000","2.534600","qfq"
"601988.SH","20251103","5.483132","5.600838","5.483132","5.571412","5.502750","0.068662","1.247772","4074518.010000","2311333.091000","2.534600","qfq"
"601988.SH","20251104","5.571412","5.640074","5.561603","5.620456","5.571412","0.049044","0.880282","4088131.790000","2338329.001000","2.534600","qfq"
"601988.SH","20251105","5.610647","5.640074","5.551794","5.581221","5.620456","-0.039235","-0.698080","2487136.590000","1418073.968000","2.534600","qfq"
"601988.SH","20251106","5.561603","5.591029","5.532176","5.551794","5.581221","-0.029426","-0.527241","2112734.350000","1197058.935000","2.534600","qfq"
"601988.SH","20251107","5.551794","5.610647","5.522368","5.532176","5.551794","-0.019618","-0.353357","2237377.870000","1266404.442000","2.534600","qfq"
"601988.SH","20251110","5.522368","5.561603","5.492941","5.551794","5.532176","0.019618","0.354610","1744063.150000","984727.096000","2.534600","qfq"
"601988.SH","20251111","5.541985","5.581221","5.522368","5.571412","5.551794","0.019618","0.353357","1625526.770000","921543.770000","2.534600","qfq"
"601988.SH","20251112","5.581221","5.708735","5.571412","5.649882","5.571412","0.078471","1.408451","4009636.410000","2312614.501000","2.534600","qfq"
"601988.SH","20251113","5.659691","5.698926","5.551794","5.630265","5.649882","-0.019618","-0.347222","3044403.990000","1743572.794000","2.534600","qfq"
"601988.SH","20251114","5.630265","5.767588","5.620456","5.708735","5.630265","0.078471","1.393728","3831463.860000","2231298.175000","2.534600","qfq"
"601988.SH","20251117","5.708735","5.718544","5.581221","5.659691","5.708735","-0.049044","-0.859107","2935607.450000","1688174.986000","2.534600","qfq"
"601988.SH","20251118","5.630265","5.708735","5.600838","5.669500","5.659691","0.009809","0.173310","2324185.300000","1340338.290000","2.534600","qfq"
"601988.SH","20251119","5.679309","5.885294","5.669500","5.885294","5.669500","0.215794","3.806228","5689427.240000","3371096.361000","2.534600","qfq"
"601988.SH","20251120","5.875485","6.208985","5.846059","6.120706","5.885294","0.235412","4.000000","7232047.090000","4501080.156000","2.534600","qfq"
"601988.SH","20251121","6.110897","6.267838","6.110897","6.169750","6.120706","0.049044","0.801282","6807007.310000","4294459.516000","2.534600","qfq"
"601988.SH","20251124","6.169750","6.208985","6.022618","6.052044","6.169750","-0.117706","-1.907790","6199166.670000","3852085.963000","2.534600","qfq"
"601988.SH","20251125","6.032426","6.169750","5.973574","6.140324","6.052044","0.088279","1.458671","4354504.350000","2694640.038000","2.534600","qfq"
"601988.SH","20251126","6.140324","6.189368","5.993191","6.032426","6.140324","-0.107897","-1.757188","4148931.590000","2562937.491000","2.534600","qfq"
"601988.SH","20251127","6.012809","6.052044","5.944147","6.052044","6.032426","0.019618","0.325203","3420242.260000","2092863.574000","2.534600","qfq"
"601988.SH","20251128","6.032426","6.032426","5.924529","5.953956","6.052044","-0.098088","-1.620746","3601178.730000","2189779.216000","2.534600","qfq"
"601988.SH","20251201","5.944147","5.983382","5.914721","5.953956","5.953956","0.000000","0.000000","3065030.560000","1858296.010000","2.534600","qfq"
"601988.SH","20251202","5.953956","5.983382","5.865676","5.944147","5.953956","-0.009809","-0.164745","2533891.100000","1530042.693000","2.534600","qfq"
"601988.SH","20251203","5.924529","5.963765","5.806824","5.826441","5.944147","-0.117706","-1.980198","3225531.760000","1930305.208000","2.534600","qfq"
"601988.SH","20251204","5.836250","5.846059","5.747971","5.767588","5.826441","-0.058853","-1.010101","2499833.110000","1474123.942000","2.534600","qfq"
"601988.SH","20251205","5.767588","5.787206","5.659691","5.698926","5.767588","-0.068662","-1.190476","3207173.710000","1865401.733000","2.534600","qfq"
"601988.SH","20251208","5.698926","5.757779","5.659691","5.718544","5.698926","0.019618","0.344234","3064729.640000","1784673.004000","2.534600","qfq"
"601988.SH","20251209","5.698926","5.757779","5.679309","5.728353","5.718544","0.009809","0.171527","2509226.980000","1463990.692000","2.534600","qfq"
"601988.SH","20251210","5.718544","5.738162","5.620456","5.640074","5.728353","-0.088279","-1.541096","2839998.910000","1639088.793000","2.534600","qfq"
"601988.SH","20251211","5.660000","5.710000","5.640000","5.710000","5.640000","0.070000","1.241135","2527258.410000","1433449.523000","2.584000","qfq"
"601988.SH","20251212","5.700000","5.710000","5.580000","5.590000","5.710000","-0.120000","-2.101576","3563925.850000","1999025.485000","2.584000","qfq"
"601988.SH","20251215","5.590000","5.640000","5.580000","5.610000","5.590000","0.020000","0.357782","2019361.400000","1133325.032000","2.584000","qfq"
"601988.SH","20251216","5.600000","5.620000","5.550000","5.590000","5.610000","-0.020000","-0.356506","2216269.970000","1238134.798000","2.584000","qfq"
"601988.SH","20251217","5.580000","5.660000","5.560000","5.610000","5.590000","0.020000","0.357782","2517010.890000","1412535.014000","2.584000","qfq"
"601988.SH","20251218","5.610000","5.710000","5.580000","5.700000","5.610000","0.090000","1.604278","2879645.560000","1630967.673000","2.584000","qfq"
"601988.SH","20251219","5.690000","5.690000","5.630000","5.660000","5.700000","-0.040000","-0.701754","2398602.970000","1358087.146000","2.584000","qfq"
"601988.SH","20251222","5.650000","5.670000","5.610000","5.670000","5.660000","0.010000","0.176678","1665176.020000","940397.556000","2.584000","qfq"
"601988.SH","20251223","5.660000","5.710000","5.630000","5.700000","5.670000","0.030000","0.529101","2606330.920000","1480489.709000","2.584000","qfq"
"601988.SH","20251224","5.700000","5.730000","5.660000","5.670000","5.700000","-0.030000","-0.526316","1841497.630000","1046784.273000","2.584000","qfq"
"601988.SH","20251225","5.660000","5.710000","5.630000","5.650000","5.670000","-0.020000","-0.352734","2268690.100000","1285967.452000","2.584000","qfq"
"601988.SH","20251226","5.650000","5.650000","5.600000","5.610000","5.650000","-0.040000","-0.707965","1544955.180000","868355.134000","2.584000","qfq"
"601988.SH","20251229","5.610000","5.680000","5.590000","5.680000","5.610000","0.070000","1.247772","2527610.750000","1425343.422000","2.584000","qfq"
"601988.SH","20251230","5.660000","5.700000","5.610000","5.670000","5.680000","-0.010000","-0.176056","2366887.000000","1339549.015000","2.584000","qfq"
"601988.SH","20251231","5.660000","5.760000","5.660000","5.730000","5.670000","0.060000","1.058201","3023692.710000","1728942.716000","2.584000","qfq"
"601988.SH","20260105","5.730000","5.760000","5.640000","5.670000","5.730000","-0.060000","-1.047120","3461974.260000","1964034.946000","2.584000","qfq"
"601988.SH","20260106","5.670000","5.670000","5.550000","5.590000","5.670000","-0.080000","-1.410935","5606428.360000","3133843.907000","2.584000","qfq"
"601988.SH","20260107","5.580000","5.600000","5.550000","5.560000","5.590000","-0.030000","-0.536673","2744756.970000","1528918.706000","2.584000","qfq"
"601988.SH","20260108","5.560000","5.560000","5.480000","5.520000","5.560000","-0.040000","-0.719424","3166872.040000","1742625.353000","2.584000","qfq"
"601988.SH","20260109","5.510000","5.520000","5.460000","5.490000","5.520000","-0.030000","-0.543478","2276233.240000","1248627.643000","2.584000","qfq"
"601988.SH","20260112","5.470000","5.540000","5.440000","5.530000","5.490000","0.040000","0.728597","2615674.520000","1436981.079000","2.584000","qfq"
"601988.SH","20260113","5.520000","5.610000","5.520000","5.550000","5.530000","0.020000","0.361664","3537673.230000","1969724.042000","2.584000","qfq"
"601988.SH","20260114","5.530000","5.540000","5.460000","5.470000","5.550000","-0.080000","-1.441441","3623348.580000","1986896.750000","2.584000","qfq"
"601988.SH","20260115","5.460000","5.490000","5.420000","5.430000","5.470000","-0.040000","-0.731261","2276585.330000","1240839.852000","2.584000","qfq"
"601988.SH","20260116","5.430000","5.440000","5.380000","5.400000","5.430000","-0.030000","-0.552486","2862660.150000","1548257.786000","2.584000","qfq"
"601988.SH","20260119","5.380000","5.420000","5.350000","5.360000","5.400000","-0.040000","-0.740741","2536826.270000","1363336.281000","2.584000","qfq"
"601988.SH","20260120","5.360000","5.450000","5.340000","5.440000","5.360000","0.080000","1.492537","3174406.780000","1716541.504000","2.584000","qfq"
"601988.SH","20260121","5.440000","5.480000","5.330000","5.330000","5.440000","-0.110000","-2.022059","3641203.300000","1959298.227000","2.584000","qfq"
"601988.SH","20260122","5.330000","5.360000","5.300000","5.300000","5.330000","-0.030000","-0.562852","2496594.840000","1328510.248000","2.584000","qfq"
"601988.SH","20260123","5.320000","5.320000","5.260000","5.270000","5.300000","-0.030000","-0.566038","2473740.520000","1306482.698000","2.584000","qfq"
"601988.SH","20260126","5.260000","5.360000","5.230000","5.310000","5.270000","0.040000","0.759013","3796228.850000","2018339.670000","2.584000","qfq"
"601988.SH","20260127","5.310000","5.420000","5.300000","5.330000","5.310000","0.020000","0.376648","4305911.720000","2314067.267000","2.584000","qfq"
"601988.SH","20260128","5.320000","5.400000","5.300000","5.340000","5.330000","0.010000","0.187617","3314040.750000","1774217.581000","2.584000","qfq"
"601988.SH","20260129","5.340000","5.400000","5.300000","5.370000","5.340000","0.030000","0.561798","3230121.200000","1728023.013000","2.584000","qfq"
"601988.SH","20260130","5.380000","5.430000","5.350000","5.370000","5.370000","0.000000","0.000000","3248548.610000","1752185.733000","2.584000","qfq"
"601988.SH","20260202","5.370000","5.450000","5.360000","5.420000","5.370000","0.050000","0.931099","3385638.580000","1834399.009000","2.584000","qfq"
