ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,adjust
603986.SH,20250924,194.317876,207.928116,192.720196,199.510338,193.788645,5.721693,2.952543,507020.690000,10165505.184000,5.647900,qfq
603986.SH,20250925,198.711497,204.203524,192.820051,197.123802,199.510338,-2.386535,-1.196196,404275.910000,8001322.068000,5.647900,qfq
603986.SH,20250926,195.725832,205.721320,189.934241,189.934241,197.123802,-7.189562,-3.647232,435200.850000,8650850.074000,5.647900,qfq
603986.SH,20250929,196.215122,203.334785,194.817151,196.844208,189.934241,6.909968,3.638084,434877.980000,8628937.828000,5.647900,qfq
603986.SH,20250930,204.043756,216.525634,202.705698,212.990766,196.844208,16.146557,8.202709,597864.990000,12672064.936000,5.647900,qfq
603986.SH,20251009,221.678153,234.289842,218.283082,225.163093,212.990766,12.172327,5.714955,585389.770000,13293421.697000,5.647900,qfq
603986.SH,20251010,225.173079,230.165830,211.812476,214.708272,225.163093,-10.454821,-4.643221,443030.980000,9636636.022000,5.647900,qfq
603986.SH,20251013,201.207873,214.588446,201.207873,207.548667,214.708272,-7.159605,-3.334574,424815.140000,8843113.207000,5.647900,qfq
603986.SH,20251014,215.137649,220.210284,192.720196,195.715847,207.548667,-11.832820,-5.701227,522017.800000,10762183.994000,5.647900,qfq
603986.SH,20251015,195.266499,202.106568,186.139750,201.717134,195.715847,6.001287,3.066327,390442.310000,7587280.731000,5.647900,qfq
603986.SH,20251016,201.147960,214.488591,198.242179,207.828261,201.717134,6.111127,3.029553,458666.180000,9577597.463000,5.647900,qfq
603986.SH,20251017,207.818275,211.193375,200.708598,200.918293,207.828261,-6.909968,-3.324845,329357.840000,6777034.048000,5.647900,qfq
603986.SH,20251020,207.428841,214.688301,202.735655,208.047942,200.918293,7.129649,3.548531,367244.060000,7696246.687000,5.647900,qfq
603986.SH,20251021,210.694100,221.678153,209.356043,218.692488,208.047942,10.644546,5.116391,405117.220000,8794154.720000,5.647900,qfq
603986.SH,20251022,213.689751,213.689751,205.002364,210.624202,218.692488,-8.068286,-3.689329,371829.520000,7766034.297000,5.647900,qfq
603986.SH,20251023,205.681378,207.798304,200.099482,206.659957,210.624202,-3.964244,-1.882141,274058.480000,5585482.986000,5.647900,qfq
603986.SH,20251024,213.689751,221.558327,211.692650,220.759487,206.659957,14.099529,6.822574,450618.120000,9805113.356000,5.647900,qfq
603986.SH,20251027,229.666555,242.837432,222.506949,242.837432,220.759487,22.077946,10.000905,520916.180000,12070372.380000,5.647900,qfq
603986.SH,20251028,236.157131,254.071123,234.239915,246.591981,242.837432,3.754549,1.546116,527296.420000,12909959.810000,5.647900,qfq
603986.SH,20251029,246.601967,252.263747,235.657856,240.800390,246.591981,-5.791591,-2.348654,503744.630000,12221563.111000,5.647900,qfq
603986.SH,20251030,245.883011,246.641909,231.443974,231.663655,240.800390,-9.136735,-3.794319,433654.430000,10345840.392000,5.647900,qfq
603986.SH,20251031,230.665105,234.339770,215.686851,219.681052,231.663655,-11.982603,-5.172414,492428.820000,10882575.346000,5.647900,qfq
603986.SH,20251103,216.685402,230.345569,216.345895,229.766410,219.681052,10.085357,4.590909,462613.490000,10367480.649000,5.647900,qfq
603986.SH,20251104,230.665105,230.884786,222.177428,224.663818,229.766410,-5.102592,-2.220774,293367.810000,6624358.513000,5.647900,qfq
603986.SH,20251105,212.691201,220.170342,210.644173,218.073386,224.663818,-6.590432,-2.933464,335131.450000,7203205.727000,5.647900,qfq
603986.SH,20251106,224.174528,227.669454,221.927790,226.870614,218.073386,8.797228,4.034067,343346.700000,7753801.390000,5.647900,qfq
603986.SH,20251107,222.357167,227.559614,219.231705,220.629675,226.870614,-6.240939,-2.750880,278989.180000,6232949.914000,5.647900,qfq
603986.SH,20251110,228.158744,231.114453,212.191926,218.642560,220.629675,-1.987115,-0.900656,385832.230000,8553969.468000,5.647900,qfq
603986.SH,20251111,223.275833,226.680889,216.395822,216.675416,218.642560,-1.967144,-0.899708,341924.900000,7601312.659000,5.647900,qfq
603986.SH,20251112,212.691201,218.263111,206.709885,209.196275,216.675416,-7.479141,-3.451772,349523.080000,7391713.965000,5.647900,qfq
603986.SH,20251113,211.692650,230.115902,211.572824,227.170179,209.196275,17.973904,8.591885,626638.580000,14161665.405000,5.647900,qfq
603986.SH,20251114,215.686851,216.176141,205.481668,205.481668,227.170179,-21.688511,-9.547253,548633.270000,11531317.142000,5.647900,qfq
